#,Intro Time ms (GBA),Intro Time ms (NDS),MONO/LR,MONO/LA,MONO/HELP,STEREO/LR,STEREO/LA,STEREO/HELP
1,34004,35000,EE59,EE50,EE5A,EE77,EE76,EE77
2,34012,35008,EE59,EE50,EE5A,EE77,EE76,EE77
3,34020,35016,3B93,3B80,3B81,3B89,3B80,3B8B
4,34028,35024,3B93,3B80,3B81,3B89,3B80,3B8B
5,34036,35032,84CC,84C4,84B9,84CC,84B8,84B9
6,34044,35040,84CC,84C4,84B9,84CC,84B8,84B9
7,34052,35048,CE0D,CE04,CDFC,CE0D,CE04,CE05
8,34060,35056,CE0D,CE04,CDFC,CE0D,CE04,CE05
9,34068,35064,FC21,FC18,FC23,FC21,FC18,FC19
10,34076,35072,FC21,FC18,FC23,FC21,FC18,FC19
11,34084,35080,08DF,08D8,08D7,08DF,08D8,08D7
12,34092,35088,08DF,08D8,08D7,08DF,08D8,08D7
13,34100,35096,5271,526B,525F,5287,5285,5286
14,34108,35104,5271,526B,525F,5287,5285,5286
15,34116,35112,997F,9980,9976,997F,9975,9977
16,34124,35120,997F,9980,9976,997F,9975,9977
17,34132,35128,4A84,4A70,4A7C,4ABA,4AA7,4AB2
18,34140,35136,4A84,4A70,4A7C,4ABA,4AA7,4AB2
19,34148,35144,7D28,7D2F,7D1F,7D6B,7D5D,7D61
20,34156,35152,7D28,7D2F,7D1F,7D6B,7D5D,7D61
21,34164,35160,7D28,7D2F,C630,7D6B,C667,7D61
22,34172,35168,C642,C63A,C630,C671,C667,C671
23,34180,35176,C642,C63A,0F1E,C671,C667,C671
24,34188,35184,0F1D,0F16,0F1E,0F1D,0F1F,0F1E
25,34196,35192,0F1D,0F16,0F1E,0F1D,0F1F,0F1E
26,34204,35200,5A69,5A6C,5A6C,5ADA,5AD7,5ADA
27,34212,35208,5A69,5A6C,5A6C,5ADA,5AD7,5ADA
28,34220,35216,9FB7,9FAE,9FB0,9FBA,9FAF,9FA6
29,34228,35224,9FB7,9FAE,9FB0,9FBA,9FAF,9FA6
30,34236,35232,0409,0400,0401,0440,0437,0438
31,34244,35240,0409,0400,0401,0440,0437,0438
32,34252,35248,300B,3004,3005,3037,302E,302F
33,34260,35256,300B,3004,3005,3037,302E,302F
34,34268,35264,7DBA,7DBA,7DB0,7DFB,7DF1,7DE3
35,34276,35272,7DBA,7DBA,7DB0,7DFB,7DF1,7DE3
36,34284,35280,C773,C773,C769,C7B0,C7AB,C7A9
