Intro Time ms (NDS),base 16 num,Mode
35000,61017,MONO/LR
35000,61008,MONO/LA
35000,61018,MONO/HELP
35000,61047,STEREO/LR
35000,61046,STEREO/LA
35000,61047,STEREO/HELP
35008,61017,MONO/LR
35008,61008,MONO/LA
35008,61018,MONO/HELP
35008,61047,STEREO/LR
35008,61046,STEREO/LA
35008,61047,STEREO/HELP
35016,15251,MONO/LR
35016,15232,MONO/LA
35016,15233,MONO/HELP
35016,15241,STEREO/LR
35016,15232,STEREO/LA
35016,15243,STEREO/HELP
35024,15251,MONO/LR
35024,15232,MONO/LA
35024,15233,MONO/HELP
35024,15241,STEREO/LR
35024,15232,STEREO/LA
35024,15243,STEREO/HELP
35032,33996,MONO/LR
35032,33988,MONO/LA
35032,33977,MONO/HELP
35032,33996,STEREO/LR
35032,33976,STEREO/LA
35032,33977,STEREO/HELP
35040,33996,MONO/LR
35040,33988,MONO/LA
35040,33977,MONO/HELP
35040,33996,STEREO/LR
35040,33976,STEREO/LA
35040,33977,STEREO/HELP
35048,52749,MONO/LR
35048,52740,MONO/LA
35048,52732,MONO/HELP
35048,52749,STEREO/LR
35048,52740,STEREO/LA
35048,52741,STEREO/HELP
35056,52749,MONO/LR
35056,52740,MONO/LA
35056,52732,MONO/HELP
35056,52749,STEREO/LR
35056,52740,STEREO/LA
35056,52741,STEREO/HELP
35064,64545,MONO/LR
35064,64536,MONO/LA
35064,64547,MONO/HELP
35064,64545,STEREO/LR
35064,64536,STEREO/LA
35064,64537,STEREO/HELP
35072,64545,MONO/LR
35072,64536,MONO/LA
35072,64547,MONO/HELP
35072,64545,STEREO/LR
35072,64536,STEREO/LA
35072,64537,STEREO/HELP
35080,2271,MONO/LR
35080,2264,MONO/LA
35080,2263,MONO/HELP
35080,2271,STEREO/LR
35080,2264,STEREO/LA
35080,2263,STEREO/HELP
35088,2271,MONO/LR
35088,2264,MONO/LA
35088,2263,MONO/HELP
35088,2271,STEREO/LR
35088,2264,STEREO/LA
35088,2263,STEREO/HELP
35096,21105,MONO/LR
35096,21099,MONO/LA
35096,21087,MONO/HELP
35096,21127,STEREO/LR
35096,21125,STEREO/LA
35096,21126,STEREO/HELP
35104,21105,MONO/LR
35104,21099,MONO/LA
35104,21087,MONO/HELP
35104,21127,STEREO/LR
35104,21125,STEREO/LA
35104,21126,STEREO/HELP
35112,39295,MONO/LR
35112,39296,MONO/LA
35112,39286,MONO/HELP
35112,39295,STEREO/LR
35112,39285,STEREO/LA
35112,39287,STEREO/HELP
35120,39295,MONO/LR
35120,39296,MONO/LA
35120,39286,MONO/HELP
35120,39295,STEREO/LR
35120,39285,STEREO/LA
35120,39287,STEREO/HELP
35128,19076,MONO/LR
35128,19056,MONO/LA
35128,19068,MONO/HELP
35128,19130,STEREO/LR
35128,19111,STEREO/LA
35128,19122,STEREO/HELP
35136,19076,MONO/LR
35136,19056,MONO/LA
35136,19068,MONO/HELP
35136,19130,STEREO/LR
35136,19111,STEREO/LA
35136,19122,STEREO/HELP
35144,32040,MONO/LR
35144,32047,MONO/LA
35144,32031,MONO/HELP
35144,32107,STEREO/LR
35144,32093,STEREO/LA
35144,32097,STEREO/HELP
35152,32040,MONO/LR
35152,32047,MONO/LA
35152,32031,MONO/HELP
35152,32107,STEREO/LR
35152,32093,STEREO/LA
35152,32097,STEREO/HELP
35160,32040,MONO/LR
35160,32047,MONO/LA
35160,50736,MONO/HELP
35160,32107,STEREO/LR
35160,50791,STEREO/LA
35160,32097,STEREO/HELP
35168,50754,MONO/LR
35168,50746,MONO/LA
35168,50736,MONO/HELP
35168,50801,STEREO/LR
35168,50791,STEREO/LA
35168,50801,STEREO/HELP
