#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,100.0,1.0000,0.12,3.18
2,112.2,1.0000,0.12,2.29
3,125.9,1.0000,0.12,1.58
4,141.3,1.0000,0.12,0.84
5,158.5,1.0000,0.12,0.00
6,177.8,1.0000,0.12,-0.83
7,199.5,1.0000,0.12,-1.41
8,223.9,1.0000,0.08,-2.43
9,251.2,1.0000,0.08,-3.16
10,281.8,1.0000,0.06,-3.93
11,316.2,1.0000,0.08,-4.92
12,354.8,1.0000,0.03,-5.80
13,398.1,1.0000,0.00,-6.68
14,446.7,1.0000,-0.02,-7.82
15,501.2,1.0000,-0.05,-8.96
16,562.3,1.0000,-0.08,-10.20
17,631.0,1.0000,-0.16,-11.43
18,707.9,1.0000,-0.21,-12.89
19,794.3,1.0000,-0.27,-14.44
20,891.3,1.0000,-0.35,-16.31
21,1000.0,1.0000,-0.43,-18.11
22,1122.0,1.0000,-0.55,-20.21
23,1258.9,1.0000,-0.70,-22.45
24,1412.5,1.0000,-0.86,-25.09
25,1584.9,1.0000,-1.09,-27.60
26,1778.3,1.0000,-1.33,-30.30
27,1995.3,1.0000,-1.62,-33.40
28,2238.7,1.0000,-1.98,-36.56
29,2511.9,1.0000,-2.34,-39.86
30,2818.4,1.0000,-2.85,-43.55
31,3162.3,1.0000,-3.39,-46.76
32,3548.1,1.0000,-4.02,-50.38
33,3981.1,1.0000,-4.72,-53.79
34,4466.8,1.0000,-5.53,-57.19
35,5011.9,1.0000,-6.37,-60.47
36,5623.4,1.0000,-7.45,-63.63
37,6309.6,1.0000,-8.52,-66.66
38,7079.5,1.0000,-9.77,-69.61
39,7943.3,1.0000,-11.20,-72.07
40,8912.5,1.0000,-12.84,-74.57
41,10000.0,1.0000,-14.84,-76.64
42,11220.2,1.0000,-17.30,-78.19
43,12589.3,1.0000,-20.70,-79.10
44,14125.4,1.0000,-26.13,-76.32
45,15848.9,1.0000,-39.14,-30.55
46,17782.8,1.0000,-28.20,73.62
47,19952.6,1.0000,-21.84,78.57
48,22387.2,1.0000,-18.07,78.40
49,25118.9,1.0000,-15.39,76.86
50,28183.8,1.0000,-13.35,74.88
51,31622.8,1.0000,-11.59,72.42
52,35481.3,1.0000,-10.13,69.84
53,39810.7,1.0000,-8.83,67.01
54,44668.4,1.0000,-7.66,63.98
55,50118.7,1.0000,-6.64,60.82
56,56234.1,1.0000,-5.73,57.48
57,63095.7,1.0000,-4.91,54.11
58,70794.6,1.0000,-4.10,50.27
59,79432.8,1.0000,-3.44,46.72
60,89125.1,1.0000,-2.85,43.02
61,100000.0,1.0000,-2.34,39.34
62,112201.8,1.0000,-1.90,35.61
63,125892.5,1.0000,-1.54,31.99
64,141253.8,1.0000,-1.21,28.42
65,158489.3,1.0000,-0.97,25.10
66,177827.9,1.0000,-0.72,21.62
67,199526.2,1.0000,-0.52,18.63
68,223872.1,1.0000,-0.39,15.64
69,251188.6,1.0000,-0.27,12.62
70,281838.3,1.0000,-0.20,9.71
71,316227.8,1.0000,-0.12,7.17
72,354813.4,1.0000,-0.08,4.49
73,398107.2,1.0000,-0.08,1.79
74,446683.6,1.0000,-0.07,-0.84
75,501187.2,1.0000,-0.08,-3.34
76,562341.3,1.0000,-0.12,-5.98
77,630957.3,1.0000,-0.16,-8.65
78,707945.8,1.0000,-0.24,-11.57
79,794328.2,1.0000,-0.35,-14.38
80,891250.9,1.0000,-0.48,-17.23
81,1000000.0,1.0000,-0.66,-20.36
