#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase ()
1,100.0,1.0000,-53.28,95.29
2,112.2,1.0000,-52.30,94.39
3,125.9,1.0000,-51.31,93.98
4,141.3,1.0000,-50.26,93.16
5,158.5,1.0000,-49.27,92.52
6,177.8,1.0000,-48.27,92.16
7,199.5,1.0000,-47.27,91.58
8,223.9,1.0000,-46.28,91.41
9,251.2,1.0000,-45.27,90.74
10,281.8,1.0000,-44.30,90.64
11,316.2,1.0000,-43.32,90.10
12,354.8,1.0000,-42.30,89.71
13,398.1,1.0000,-41.33,89.65
14,446.7,1.0000,-40.35,89.39
15,501.2,1.0000,-39.41,89.23
16,562.3,1.0000,-38.40,89.07
17,631.0,1.0000,-37.42,88.59
18,707.9,1.0000,-36.41,88.71
19,794.3,1.0000,-35.47,88.42
20,891.3,1.0000,-34.48,88.42
21,1000.0,1.0000,-33.52,88.18
22,1122.0,1.0000,-32.54,88.05
23,1258.9,1.0000,-31.48,87.94
24,1412.5,1.0000,-30.52,87.71
25,1584.9,1.0000,-29.53,87.54
26,1778.3,1.0000,-28.55,87.36
27,1995.3,1.0000,-27.54,87.01
28,2238.7,1.0000,-26.64,87.01
29,2511.9,1.0000,-25.63,86.13
30,2818.4,1.0000,-24.62,85.82
31,3162.3,1.0000,-23.63,85.75
32,3548.1,1.0000,-22.66,84.90
33,3981.1,1.0000,-21.65,84.38
34,4466.8,1.0000,-20.66,83.85
35,5011.9,1.0000,-19.69,82.98
36,5623.4,1.0000,-18.71,82.13
37,6309.6,1.0000,-17.73,81.35
38,7079.5,1.0000,-16.72,80.33
39,7943.3,1.0000,-15.77,79.14
40,8912.5,1.0000,-14.83,77.87
41,10000.0,1.0000,-13.90,76.64
42,11220.2,1.0000,-12.93,74.99
43,12589.3,1.0000,-12.03,73.30
44,14125.4,1.0000,-11.09,71.51
45,15848.9,1.0000,-10.23,69.43
46,17782.8,1.0000,-9.37,67.29
47,19952.6,1.0000,-8.54,64.69
48,22387.2,1.0000,-7.72,62.17
49,25118.9,1.0000,-6.95,59.41
50,28183.8,1.0000,-6.26,56.73
51,31622.8,1.0000,-5.59,53.44
52,35481.3,1.0000,-4.92,50.39
53,39810.7,1.0000,-4.34,47.25
54,44668.4,1.0000,-3.83,43.90
55,50118.7,1.0000,-3.39,40.61
56,56234.1,1.0000,-2.97,37.44
57,63095.7,1.0000,-2.62,34.28
58,70794.6,1.0000,-2.31,31.43
59,79432.8,1.0000,-2.08,28.62
60,89125.1,1.0000,-1.88,25.84
61,100000.0,1.0000,-1.71,23.34
62,112201.8,1.0000,-1.55,20.82
63,125892.5,1.0000,-1.42,18.73
64,141253.8,1.0000,-1.33,16.70
65,158489.3,1.0000,-1.22,14.91
66,177827.9,1.0000,-1.19,13.18
67,199526.2,1.0000,-1.13,11.60
68,223872.1,1.0000,-1.06,10.34
69,251188.6,1.0000,-1.05,9.10
70,281838.3,1.0000,-1.02,7.78
71,316227.8,1.0000,-0.98,6.71
72,354813.4,1.0000,-0.96,5.72
73,398107.2,1.0000,-0.94,4.78
74,446683.6,1.0000,-0.94,4.01
75,501187.2,1.0000,-0.94,3.16
76,562341.3,1.0000,-0.94,2.46
77,630957.3,1.0000,-0.94,1.62
78,707945.8,1.0000,-0.94,0.91
79,794328.2,1.0000,-0.94,0.18
80,891250.9,1.0000,-0.94,-0.49
81,1000000.0,1.0000,-0.94,-1.23
